2016年,インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週数,第1週,第2週,第3週,第4週,第5週,第6週,第7週,第8週,第9週,第10週,第11週,第12週,第13週,第14週,第15週,第16週,第17週,第18週,第19週,第20週,第21週,第22週,第23週,第24週,第25週,第26週,第27週,第28週,第29週,第30週,第31週,第32週,第33週,第34週,第35週,第36週,第37週,第38週,第39週,第40週,第41週,第42週,第43週,第44週,第45週,第46週,第47週,第48週,第49週,第50週,第51週,第52週,
市全体（報告数/定点数）,1.444444444,5.857142857,15.67857143,30.17857143,46.21428571,43.71428571,39.28571429,34.35714286,33.22222222,27.21428571,21.40740741,9.571428571,6.678571429,4.25,3.642857143,3.392857143,1.392857143,0.481481481,0.214285714,0.035714286,0,0.035714286,0.035714286,0,0,0,0,0.038461538,0,0,0,0,0,0,0.035714286,0.285714286,0.083333333,0.071428571,0.142857143,0.076923077,0.035714286,0.321428571,0.214285714,0.222222222,0.571428571,0.62962963,1.321428571,3.444444444,3.857142857,4.178571429,6.892857143,4.434782609,
中央区（報告数/定点数）,2.8,5.5,24.33333333,38.83333333,65.5,61,52.66666667,42.33333333,37.83333333,37.83333333,23,10,8,5.333333333,4.166666667,3.833333333,1.166666667,0,0.666666667,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.5,0.2,0,0.166666667,0.666666667,0.666666667,1,0.5,1.166666667,2.833333333,4.333333333,5.5,14.33333333,5.833333333,
花見川区（報告数/定点数）,0.5,2.5,10.75,20.75,31.75,29.5,27.25,25.75,29.25,16.5,16.25,7.5,5.75,2,1,1.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1.5,7.5,4.25,5.25,3,2.5,
稲毛区（報告数/定点数）,0.75,5,16.75,33.25,55.5,47,39.5,31.75,35.5,30.75,29.5,8,3.75,4,2.75,2.25,1.25,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.75,0.5,0,3.333333333,6.5,4.5,10.25,4.5,
若葉区（報告数/定点数）,2,14.5,18.75,46.25,47.75,38.75,46.75,39.5,34,32.75,28.33333333,15.5,8.75,4,4.75,7.25,3.25,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.75,0.5,0.25,2.5,3.5,4,
緑区（報告数/定点数）,1.6,6.6,13.2,26.4,38,43.2,34.8,31,29.5,24.4,17.2,9.8,7.2,4,6.4,4.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,0,0,0,0.2,0,0,0,0,0.2,1.2,3,1.4,1.6,3,4.6,3.75,
美浜区（報告数/定点数）,0.8,2,8.4,15.8,34.2,36.2,31.2,33,31.4,18.6,17.2,7,6,5.4,2.2,1.4,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,1.6,0.4,0.4,0.6,1,1.2,5.4,6,4,3.4,4.25,
流行警報開始基準値（報告数/定点数）,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
流行警報終息基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
流行注意報基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
