2018年,インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週数,第1週,第2週,第3週,第4週,第5週,第6週,第7週,第8週,第9週,第10週,第11週,第12週,第13週,第14週,第15週,第16週,第17週,第18週,第19週,第20週,第21週,第22週,第23週,第24週,第25週,第26週,第27週,第28週,第29週,第30週,第31週,第32週,第33週,第34週,第35週,第36週,第37週,第38週,第39週,第40週,第41週,第42週,第43週,第44週,第45週,第46週,第47週,第48週,第49週,第50週,第51週,第52週,
市全体（報告数/定点数）,9.230769231,23.89285714,51.14285714,57.82142857,64.5,51.22222222,24.5,16.39285714,11.96428571,8.285714286,5.678571429,3.357142857,1.5,0.821428571,0.642857143,1.107142857,0.666666667,0.178571429,0.178571429,0.071428571,0.178571429,0.178571429,0.035714286,0.607142857,0,0.035714286,0.074074074,0,0,0,0.037037037,0,0,0.038461538,0,0.076923077,0.153846154,0.130434783,,,,,,,,,,,,,,,
中央区（報告数/定点数）,15.75,38.8,81.6,82.4,105.4,68.2,32.6,21.8,15.8,9.6,8.4,6.2,2.6,1.2,0.8,2.6,0.8,0.4,0.2,0.4,0.6,0,0,2,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,,,,,,,,,,,,,,,
花見川区（報告数/定点数）,2,11.5,28.25,36.75,35.5,17.33333333,16.25,6.5,6,1,2,1.75,1.25,0.25,0.25,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,,,,,,,,,,,,,,,
稲毛区（報告数/定点数）,10.75,19.25,53,63.25,66,59.25,23.5,15.75,13.25,6.75,5,2.75,1,2,1.25,0,0,0.5,0,0,0,0.75,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,,,,,,,,,,,,,,,
若葉区（報告数/定点数）,10.5,25,56.5,63.25,72.5,50,28.75,18.25,14.5,17.5,10,2.5,1.25,0.25,0.25,0.75,2.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
緑区（報告数/定点数）,6.25,27.2,50.4,62.8,57.8,56.6,26,18,11.6,7.2,3.8,2.2,0.8,0.4,0.6,2,0.6,0,0.4,0,0.4,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
美浜区（報告数/定点数）,9.833333333,19.33333333,36.83333333,40,49,45,19.83333333,16.33333333,10.5,7.833333333,5,4,1.833333333,0.833333333,0.666666667,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0.4,,,,,,,,,,,,,,,
流行警報開始基準値（報告数/定点数）,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
流行警報終息基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
流行注意報基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
